label,text
ham,Не забудь купить молоко по дороге домой
urgent,СРОЧНО: свяжись со мной как можно скорее
ham,Созвонимся в 18:00
urgent,Важно! Немедленно ответь на сообщение
promotional,Рекламная акция: скидка 99% только сегодня
phishing,Ваш аккаунт Яндекс заблокирован. Подтвердите данные: http://tochno-ne-obman.ru
promotional,Специальная цена для постоянных клиентов
promotional,Промокод на скидку: используй при покупке
ham,Я задержусь на 40 минут
ham,Я уже вышел
ham,Созвонимся в завтра утром
urgent,Важно! Нужна твоя помощь прямо сейчас
promotional,Рекламное предложение: купи наушники сейчас со скидкой
promotional,Новинка! Успей купить iPhone по специальной цене
urgent,Срочное: нужно обсудить важный вопрос про встречу
phishing,Служба безопасности Google: подтвердите личность
urgent,Важное сообщение: требуется твой ответ
promotional,Распродажа! Скидки до 95% на весь ассортимент
promotional,Промо-акция: скидка на все товары категории косметику
urgent,СРОЧНО: нужно принять решение сегодня
urgent,"Критическая ситуация, позвони немедленно"
promotional,Специальное предложение: скидка 70% на все товары
promotional,Промо-акция: скидка на все товары категории наушники
promotional,Приглашаем на презентацию новых товаров
urgent,СРОЧНО: свяжись со мной как можно скорее
urgent,Срочное сообщение: нужно обсудить важный вопрос
phishing,Неудачная попытка входа в аккаунт Вконтакте
phishing,Неудачная попытка входа в аккаунт Google
phishing,Служба безопасности Вконтакте: подтвердите личность
ham,Встретимся около метро
phishing,Ваш аккаунт Госуслуги заблокирован. Подтвердите данные: http://phishing.net
promotional,Промокод на скидку: используй при покупке
urgent,СРОЧНО! Позвони мне как можно скорее
urgent,"Срочно нужна твоя помощь, позвони"
urgent,СРОЧНО: позвони мне в ближайшее время
ham,Созвонимся в 18:00
promotional,Новая рекламная кампания: специальные цены
ham,Когда встретимся?Как дела?
urgent,Срочное сообщение: нужно обсудить важный вопрос
urgent,СРОЧНО! Позвони мне как можно скорее
ham,Не забудь купить хлеб по дороге домой
urgent,СРОЧНО! Позвони мне как можно скорее
phishing,Ваш аккаунт Google заблокирован. Подтвердите данные: http://phishing.net
ham,Я задержусь на 5 минут
ham,Хорошего дня!
ham,Хорошего дня!
ham,Встретимся около метро
ham,Не забудь купить документы по дороге домой
ham,"Привет, ты сегодня будешь на занятие?"
urgent,СРОЧНО: нужно принять решение сегодня
phishing,Обнаружена подозрительная активность. Срочно войдите в Вконтакте
ham,Я уже вышел
urgent,Важно! Немедленно свяжись со мной
promotional,Рекламное предложение: купи наушники сейчас со скидкой
urgent,СРОЧНО: свяжись со мной как можно скорее
urgent,СРОЧНО: нужно принять решение сегодня
urgent,Срочное уведомление: проверь почту
ham,Когда встретимся?Как дела?
promotional,Промо-акция: скидка на все товары категории наушники
urgent,"Критическая ситуация, позвони немедленно"
ham,Созвонимся в 18:00
ham,Когда встретимся?Как дела?
promotional,Специальное предложение: скидка 90% на все товары
urgent,"Критическая ситуация, позвони немедленно"
ham,Хорошего дня!
urgent,Важное сообщение: требуется твой ответ
phishing,Подтвердите пароль для восстановления доступа
promotional,"Акция недели: купи два товара, третий в подарок"
urgent,Срочное: нужно обсудить важный вопрос про встречу
phishing,Ваша карта временно заблокирована. Перейдите по ссылке http://tochno-ne-obman.ru
promotional,Подпишись на нашу рассылку и получи промокод
urgent,Критическое сообщение: требуется ответ
urgent,Срочное уведомление: проверь почту
ham,Встретимся около офиса
urgent,СРОЧНО: позвони мне в ближайшее время
promotional,Промокод на скидку: используй при покупке
promotional,Новинка! Успей купить косметику по специальной цене
ham,Спасибо за помощь!
promotional,Специальная цена для постоянных клиентов
ham,Хорошего дня!
promotional,Промо-акция: скидка на все товары категории наушники
ham,Когда встретимся?Как дела?
ham,Когда встретимся?Как дела?
promotional,Приглашаем на презентацию новых товаров
phishing,Неудачная попытка входа в аккаунт Сбербанк
promotional,Реклама: новый продукт уже в продаже
ham,Я уже вышел
urgent,Важное сообщение: требуется твой ответ
promotional,Новинка! Успей купить косметику по специальной цене
ham,"Привет, ты сегодня будешь на занятие?"
ham,Спасибо за помощь!
phishing,Неудачная попытка входа в аккаунт Google
urgent,СРОЧНО! Позвони мне как можно скорее
ham,Встретимся около офиса
ham,Когда встретимся?Как дела?
urgent,Срочное: нужно обсудить важный вопрос про встречу
urgent,Важное сообщение: требуется твой ответ
promotional,Приглашаем на презентацию новых товаров
ham,Встретимся около дома
urgent,КРИТИЧНО! Ответь как можно быстрее
phishing,Подтвердите пароль для восстановления доступа
